model,state_class,state_label,precision,recall,f1,support
advancedV1_multiscale_extratrees,0,D00_S00,0.9443752594437526,0.7578281145902731,0.8408796895213454,3002
advancedV1_multiscale_extratrees,1,D00_S10,0.8720556745182013,0.5426382411725517,0.6689938398357289,3002
advancedV1_multiscale_extratrees,2,D00_S20,0.7269715043074884,0.3654230512991339,0.4863666592773221,3002
advancedV1_multiscale_extratrees,3,D00_S30,0.905069751616196,0.6659989984977466,0.7673445838742248,3994
advancedV1_multiscale_extratrees,4,D00_S40,0.8905630452022204,0.7481678880746169,0.8131788559015206,4503
advancedV1_multiscale_extratrees,5,D20_S00,0.6218074656188605,0.6325782811459028,0.6271466314398944,3002
advancedV1_multiscale_extratrees,6,D20_S10,0.5029118917903438,0.8917388407728182,0.6431231231231231,3002
advancedV1_multiscale_extratrees,7,D20_S20,0.5669465311533363,0.854763491005996,0.6817215727948991,3002
advancedV1_multiscale_extratrees,8,D20_S30,0.46304347826086956,0.8446096654275093,0.5981570864414216,4035
advancedV1_multiscale_extratrees,9,D20_S40,0.666125666589381,0.790588882773803,0.7230401409336856,3634
advancedV1_multiscale_extratrees,10,D40_S00,0.7634758364312267,0.5473017988007994,0.6375630578191696,3002
advancedV1_multiscale_extratrees,11,D40_S10,0.46175064361897755,0.8364423717521652,0.5950236966824645,3002
advancedV1_multiscale_extratrees,12,D40_S20,0.5576923076923077,0.5699533644237175,0.5637561779242175,3002
advancedV1_multiscale_extratrees,13,D40_S30,0.7482192629296996,0.6190110171662824,0.6775098149186763,3903
advancedV1_multiscale_extratrees,14,D40_S40,0.6056500432401268,0.6998667554963358,0.6493586771750889,3002
advancedV1_multiscale_extratrees,15,D60_S00,0.8618421052631579,0.8727514990006662,0.8672624958622972,3002
advancedV1_multiscale_extratrees,16,D60_S10,0.6894005212858384,0.5286475682878081,0.5984162895927602,3002
advancedV1_multiscale_extratrees,17,D60_S20,0.8341767224601012,0.5429440081074234,0.6577655003069368,3947
advancedV1_multiscale_extratrees,18,D60_S30,0.6257987220447284,0.521985343104597,0.569197239375227,3002
advancedV1_multiscale_extratrees,19,D60_S40,0.6415343915343915,0.8077948034643571,0.7151282807431436,3002
advancedV1_multiscale_extratrees,20,D80_S00,0.9112996529116854,0.9074500768049155,0.9093707908408697,2604
advancedV1_multiscale_extratrees,21,D80_S10,0.7829262725405158,0.8781362007168458,0.8278025823579099,3906
advancedV1_multiscale_extratrees,22,D80_S20,0.9727626459143969,0.38402457757296465,0.5506607929515418,2604
advancedV1_multiscale_extratrees,23,D80_S30,0.682780847145488,0.5695084485407066,0.6210217755443886,2604
advancedV1_multiscale_extratrees,24,D80_S40,0.9762363519588954,0.5837173579109063,0.730593607305936,2604
advancedV2_cnn_bilstm,0,D00_S00,0.6842105263157895,0.7448367754830113,0.713237639553429,3002
advancedV2_cnn_bilstm,1,D00_S10,0.6523088863019014,0.5599600266489008,0.6026169564438071,3002
advancedV2_cnn_bilstm,2,D00_S20,0.45087427144046627,0.36075949367088606,0.4008142116950407,3002
advancedV2_cnn_bilstm,3,D00_S30,0.6385805277525023,0.8785678517776665,0.7395932131942249,3994
advancedV2_cnn_bilstm,4,D00_S40,0.9929239899566309,0.966022651565623,0.9792886087348042,4503
advancedV2_cnn_bilstm,5,D20_S00,0.5982776089159068,0.7868087941372418,0.6797122302158274,3002
advancedV2_cnn_bilstm,6,D20_S10,0.7633618931048551,0.6232511658894071,0.6862277645332844,3002
advancedV2_cnn_bilstm,7,D20_S20,0.5276256844201095,0.7061958694203864,0.603988603988604,3002
advancedV2_cnn_bilstm,8,D20_S30,0.8205629397967162,0.5201982651796778,0.636735932049143,4035
advancedV2_cnn_bilstm,9,D20_S40,0.9230769230769231,0.8816730875068794,0.9019000703729768,3634
advancedV2_cnn_bilstm,10,D40_S00,0.6886405959031657,0.6159227181878747,0.6502549674696677,3002
advancedV2_cnn_bilstm,11,D40_S10,0.7786975717439294,0.4700199866755496,0.5862068965517241,3002
advancedV2_cnn_bilstm,12,D40_S20,0.49335071707953065,0.6302465023317788,0.5534591194968553,3002
advancedV2_cnn_bilstm,13,D40_S30,0.6540408775548472,0.8936715347168844,0.7553053269813772,3903
advancedV2_cnn_bilstm,14,D40_S40,0.7466539196940727,0.7804796802131913,0.7631921824104234,3002
