model,true_stress_mpa,num_windows,damage_accuracy,stress_accuracy,multitask_state_accuracy,state_head_accuracy,state_head_macro_f1,mean_state_confidence
advancedV1_multiscale_extratrees,0,14612,0.836504243087873,0.8310977278948809,0.7391185327128388,0.7391185327128388,0.3091462444606708,
advancedV1_multiscale_extratrees,10,15914,0.7591428930501445,0.9541912781198945,0.7436219680784215,0.7436219680784215,0.33996637762876225,
advancedV1_multiscale_extratrees,20,15557,0.6262132801954104,0.6668380793212059,0.5474705920164556,0.5474705920164556,0.16781900144001013,
advancedV1_multiscale_extratrees,30,17538,0.6987683886418063,0.8665754361956893,0.6576576576576577,0.6576576576576577,0.21985843616786294,
advancedV1_multiscale_extratrees,40,16745,0.7401015228426396,0.9569423708569722,0.7338309943266647,0.7338309943266647,0.413465130920735,
advancedV2_cnn_bilstm,0,14812,0.7688360788549824,0.8413448555225493,0.6688495814204699,0.7856467728868485,0.2773565891692166,0.7813512086868286
advancedV2_cnn_bilstm,10,16214,0.6314296287159246,0.7779696558529666,0.5611816948316269,0.6541260638953991,0.27413683231297276,0.6876762509346008
advancedV2_cnn_bilstm,20,15757,0.6833153519070889,0.7675953544456432,0.588436885193882,0.6479025195151361,0.23884306545899425,0.7807309031486511
advancedV2_cnn_bilstm,30,17738,0.738696583605818,0.8234299244559702,0.70842259555756,0.6849137445033262,0.24131287827406064,0.7581744194030762
advancedV2_cnn_bilstm,40,16945,0.6963706107996459,0.8129831808793154,0.6924756565358513,0.7052817940395397,0.280715480690998,0.7821895480155945
advancedV3_physics_fusion,0,14612,0.8201478237065426,0.8266493293183684,0.7450041062140706,0.7653298658636737,0.34881497726325245,0.9361380934715271
advancedV3_physics_fusion,10,15914,0.748648988312178,0.9440115621465376,0.7420510242553726,0.7607138368731934,0.34734812506212587,0.9456566572189331
advancedV3_physics_fusion,20,15557,0.6705663045574339,0.7090055923378543,0.5970945555055602,0.6497396670309186,0.2482612015413705,0.9233431816101074
advancedV3_physics_fusion,30,17538,0.6910137986087354,0.8270042194092827,0.6678640665982438,0.6752195233207892,0.22966436506204885,0.9240108728408813
advancedV3_physics_fusion,40,16745,0.6702299193789191,0.8459241564646163,0.6491489997014034,0.6529710361301881,0.2915382936988253,0.936455488204956
