model,num_windows,damage_accuracy,stress_accuracy,multitask_state_accuracy,state_head_accuracy,state_head_macro_f1,mean_state_confidence
advancedV1_multiscale_extratrees,80366,0.7303337232162855,0.8576388024786601,0.6840330488017321,0.6840330488017321,0.6808153185017517,
advancedV2_cnn_bilstm,81466,0.7033118110622837,0.8046669776348415,0.6453980801806889,0.6941791667689589,0.6667094595100365,0.7577152848243713
advancedV3_physics_fusion,80366,0.7176169026702834,0.8312097155513526,0.6789811611875669,0.6989647363312844,0.6844218107915206,0.9329656958580017
