model,source_file,segment_index,num_windows,damage_accuracy,stress_accuracy,multitask_state_accuracy,state_head_accuracy,state_head_macro_f1,mean_state_confidence
advancedV1_multiscale_extratrees,VTEST_S00.csv,0,1302,1.0,0.8540706605222734,0.8540706605222734,0.8540706605222734,0.46064623032311514,
advancedV1_multiscale_extratrees,VTEST_S00.csv,1,1501,0.9060626249167222,1.0,0.9060626249167222,0.9060626249167222,0.4753582663404404,
advancedV1_multiscale_extratrees,VTEST_S00.csv,2,1501,0.9746835443037974,0.9260493004663558,0.9033977348434377,0.9033977348434377,0.23731186559327966,
advancedV1_multiscale_extratrees,VTEST_S00.csv,3,1501,0.7661558960692871,0.7721518987341772,0.7021985343104596,0.7021985343104596,0.13750815394651011,
advancedV1_multiscale_extratrees,VTEST_S00.csv,4,1501,0.9573617588274483,0.9013990672884743,0.8587608261159227,0.8587608261159227,0.23100358422939068,
advancedV1_multiscale_extratrees,VTEST_S00_1.csv,0,1302,1.0,0.9608294930875576,0.9608294930875576,0.9608294930875576,0.4900117508813161,
advancedV1_multiscale_extratrees,VTEST_S00_1.csv,1,1501,0.8394403730846103,0.9600266489007329,0.8394403730846103,0.8394403730846103,0.22817819630568634,
advancedV1_multiscale_extratrees,VTEST_S00_1.csv,2,1501,0.49766822118587606,0.4350433044636909,0.19120586275816123,0.19120586275816123,0.06420581655480985,
advancedV1_multiscale_extratrees,VTEST_S00_1.csv,3,1501,0.7228514323784144,0.653564290473018,0.5629580279813458,0.5629580279813458,0.08004167850715166,
advancedV1_multiscale_extratrees,VTEST_S00_1.csv,4,1501,0.7441705529646903,0.8680879413724184,0.6568954030646236,0.6568954030646236,0.11327474294904935,
advancedV1_multiscale_extratrees,VTEST_S10.csv,0,1302,0.9024577572964669,1.0,0.9024577572964669,0.9024577572964669,0.4743641501816714,
advancedV1_multiscale_extratrees,VTEST_S10.csv,1,1501,0.6948700866089274,0.983344437041972,0.6948700866089274,0.6948700866089274,0.20499213836477986,
advancedV1_multiscale_extratrees,VTEST_S10.csv,2,1501,0.8401065956029313,0.9926715522984677,0.8374417055296469,0.8374417055296469,0.1823060188542422,
advancedV1_multiscale_extratrees,VTEST_S10.csv,3,1501,0.9613590939373751,0.8967355096602265,0.8580946035976016,0.8580946035976016,0.23090713517389747,
advancedV1_multiscale_extratrees,VTEST_S10.csv,4,1501,0.480346435709527,0.8674217188540972,0.480346435709527,0.480346435709527,0.1297929792979298,
advancedV1_multiscale_extratrees,VTEST_S10_1.csv,0,1302,0.8294930875576036,1.0,0.8294930875576036,0.8294930875576036,0.30226700251889166,
advancedV1_multiscale_extratrees,VTEST_S10_1.csv,1,1501,0.3624250499666889,0.927381745502998,0.3624250499666889,0.3624250499666889,0.10640586797066014,
advancedV1_multiscale_extratrees,VTEST_S10_1.csv,2,1501,0.8654230512991339,0.9700199866755497,0.8354430379746836,0.8354430379746836,0.22758620689655173,
advancedV1_multiscale_extratrees,VTEST_S10_1.csv,3,1501,0.9540306462358428,0.9593604263824117,0.9253830779480346,0.9253830779480346,0.19224913494809687,
advancedV1_multiscale_extratrees,VTEST_S10_1.csv,4,1501,0.6049300466355763,0.9173884077281812,0.6049300466355763,0.6049300466355763,0.15076795350767952,
advancedV1_multiscale_extratrees,VTEST_S20.csv,0,1302,0.8095238095238095,0.6874039938556068,0.6874039938556068,0.6874039938556068,0.162949476558944,
advancedV1_multiscale_extratrees,VTEST_S20.csv,1,1501,0.6955363091272485,0.8787475016655563,0.6822118587608261,0.6822118587608261,0.09012101210121012,
advancedV1_multiscale_extratrees,VTEST_S20.csv,2,1501,0.8114590273151232,0.8907395069953364,0.7954696868754164,0.7954696868754164,0.12658362046117147,
advancedV1_multiscale_extratrees,VTEST_S20.csv,3,1501,0.9280479680213192,0.8980679546968687,0.8261159227181879,0.8261159227181879,0.30159309254529976,
advancedV1_multiscale_extratrees,VTEST_S20.csv,4,1501,0.7408394403730846,0.692871419053964,0.6482345103264491,0.6482345103264491,0.08739782628222402,
advancedV1_multiscale_extratrees,VTEST_S20_1.csv,0,1302,0.22427035330261136,0.10138248847926268,0.08064516129032258,0.08064516129032258,0.016583747927031506,
advancedV1_multiscale_extratrees,VTEST_S20_1.csv,1,1501,0.4363757495003331,0.5822784810126582,0.4217188540972685,0.4217188540972685,0.08475030124514661,
advancedV1_multiscale_extratrees,VTEST_S20_1.csv,2,1501,0.44903397734843437,0.5936042638241172,0.34443704197201863,0.34443704197201863,0.05693205594097566,
advancedV1_multiscale_extratrees,VTEST_S20_1.csv,3,1501,0.960692871419054,0.90473017988008,0.8834110592938041,0.8834110592938041,0.15634948708878668,
advancedV1_multiscale_extratrees,VTEST_S20_1.csv,4,1501,0.24783477681545638,0.29913391072618256,0.08261159227181879,0.08261159227181879,0.013874125874125875,
advancedV1_multiscale_extratrees,VTEST_S30.csv,0,1302,0.8609831029185868,0.9001536098310292,0.8602150537634409,0.8602150537634409,0.18497109826589594,
advancedV1_multiscale_extratrees,VTEST_S30.csv,1,1501,0.8247834776815456,0.9080612924716855,0.8081279147235176,0.8081279147235176,0.12769765238446154,
advancedV1_multiscale_extratrees,VTEST_S30.csv,2,1501,0.7428381079280479,0.9860093271152565,0.7428381079280479,0.7428381079280479,0.21311162079510704,
advancedV1_multiscale_extratrees,VTEST_S30.csv,3,1501,0.9600266489007329,0.9000666222518321,0.8740839440373085,0.8740839440373085,0.23320298613579807,
advancedV1_multiscale_extratrees,VTEST_S30.csv,4,1501,0.7668221185876083,0.9633577614923384,0.7401732178547635,0.7401732178547635,0.21267228177641653,
advancedV1_multiscale_extratrees,VTEST_S30_1.csv,0,1302,0.27880184331797236,0.6474654377880185,0.27880184331797236,0.27880184331797236,0.06229086229086229,
advancedV1_multiscale_extratrees,VTEST_S30_1.csv,1,1501,0.23984010659560293,0.5969353764157228,0.23584277148567623,0.23584277148567623,0.042407906558849955,
advancedV1_multiscale_extratrees,VTEST_S30_1.csv,2,1501,0.5229846768820786,0.966688874083944,0.5229846768820786,0.5229846768820786,0.11446485855934675,
advancedV1_multiscale_extratrees,VTEST_S30_1.csv,3,1501,0.9540306462358428,0.9040639573617588,0.8634243837441705,0.8634243837441705,0.23167679656775117,
advancedV1_multiscale_extratrees,VTEST_S30_1.csv,4,1501,0.6735509660226515,0.8694203864090606,0.5636242504996669,0.5636242504996669,0.08010225820195994,
