model,source_file,num_windows,damage_accuracy,stress_accuracy,multitask_state_accuracy,state_head_accuracy,state_head_macro_f1,mean_state_confidence
advancedV1_multiscale_extratrees,VTEST_S00.csv,7306,0.9186969614015877,0.8917328223378046,0.8446482343279497,0.8446482343279497,0.3712116679260329,
advancedV1_multiscale_extratrees,VTEST_S00_1.csv,7306,0.7543115247741582,0.7704626334519573,0.6335888310977279,0.6335888310977279,0.2654976617149785,
advancedV1_multiscale_extratrees,VTEST_S10.csv,7306,0.7723788666849165,0.9466192170818505,0.7506159321105941,0.7506159321105941,0.38527461532148694,
advancedV1_multiscale_extratrees,VTEST_S10_1.csv,7306,0.7203668217903093,0.9535997810019162,0.7083219271831371,0.7083219271831371,0.3982621403043253,
advancedV1_multiscale_extratrees,VTEST_S20.csv,7306,0.7967424035039693,0.8128935121817684,0.7289898713386258,0.7289898713386258,0.22333930639353283,
advancedV1_multiscale_extratrees,VTEST_S20_1.csv,7306,0.470161511086778,0.5069805639200657,0.37024363536819055,0.37024363536819055,0.11622219127174693,
advancedV1_multiscale_extratrees,VTEST_S30.csv,7306,0.8302764850807556,0.9323843416370107,0.8035860936216808,0.8035860936216808,0.3228324993953686,
advancedV1_multiscale_extratrees,VTEST_S30_1.csv,7306,0.5407883931015603,0.8009854913769504,0.49876813577881196,0.49876813577881196,0.1894466875524575,
advancedV1_multiscale_extratrees,VTEST_S40.csv,7306,0.8096085409252669,0.9874076101834109,0.8035860936216808,0.8035860936216808,0.508101053037114,
advancedV1_multiscale_extratrees,VTEST_S40_1.csv,7306,0.6564467560908842,0.9163701067615658,0.6505611825896523,0.6505611825896523,0.3753440889144495,
advancedV1_multiscale_extratrees,VTEST_S99.csv,7306,0.7638926909389543,0.9145907473309609,0.7314535997810019,0.7314535997810019,0.3594735181396238,
advancedV2_cnn_bilstm,VTEST_S00.csv,7406,0.8300027005130974,0.8268971104509857,0.6925465838509317,0.8432352146907912,0.404066267074956,0.7811861038208008
advancedV2_cnn_bilstm,VTEST_S00_1.csv,7406,0.7076694571968674,0.8557926005941129,0.6451525789900081,0.7280583310829057,0.2764008993645994,0.7815162539482117
advancedV2_cnn_bilstm,VTEST_S10.csv,7406,0.6636510937078045,0.765190386173373,0.5908722657304888,0.6640561706724277,0.3375060111615481,0.6788917183876038
advancedV2_cnn_bilstm,VTEST_S10_1.csv,7406,0.5294355927626249,0.75411828247367,0.4538212260329463,0.5927626248987308,0.2560311384035464,0.6623455286026001
advancedV2_cnn_bilstm,VTEST_S20.csv,7406,0.7476370510396976,0.7899000810153929,0.6591952470969484,0.724007561436673,0.27852580778485364,0.7971619367599487
advancedV2_cnn_bilstm,VTEST_S20_1.csv,7406,0.6350256548744262,0.7427761274642182,0.5278152849041318,0.5723737510126924,0.2695675168863196,0.771673321723938
advancedV2_cnn_bilstm,VTEST_S30.csv,7406,0.806373210910073,0.856467728868485,0.7696462327842291,0.7630299756953821,0.31094009888788504,0.7743978500366211
advancedV2_cnn_bilstm,VTEST_S30_1.csv,7406,0.6354307318390494,0.7512827437213071,0.6161220631920065,0.5865514447745072,0.26768126296854877,0.7477107644081116
advancedV2_cnn_bilstm,VTEST_S40.csv,7406,0.6689170942479071,0.8047529030515798,0.6635160680529301,0.6940318660545504,0.3815509427433249,0.7792785167694092
advancedV2_cnn_bilstm,VTEST_S40_1.csv,7406,0.6550094517958412,0.7715365919524709,0.6514987847691062,0.6551444774507157,0.3035071843410834,0.7644358277320862
advancedV2_cnn_bilstm,VTEST_S99.csv,7406,0.8572778827977315,0.9326221982176613,0.8291925465838509,0.8127194166891709,0.32043204007070825,0.7962701916694641
advancedV3_physics_fusion,VTEST_S00.csv,7306,0.9059676977826444,0.8428688748973446,0.8082398029017246,0.8460169723514919,0.45170650127052364,0.9494945406913757
advancedV3_physics_fusion,VTEST_S00_1.csv,7306,0.7343279496304407,0.8104297837393922,0.6817684095264166,0.6846427593758555,0.31740908555415237,0.9227815866470337
advancedV3_physics_fusion,VTEST_S10.csv,7306,0.7710101286613742,0.9616753353408157,0.7704626334519573,0.8016698603887216,0.511200663468377,0.9614625573158264
advancedV3_physics_fusion,VTEST_S10_1.csv,7306,0.6814946619217082,0.9163701067615658,0.6676704078839311,0.6771147002463729,0.31186595451381705,0.9204685091972351
advancedV3_physics_fusion,VTEST_S20.csv,7306,0.7532165343553244,0.7777169449767315,0.6996988776348207,0.7417191349575691,0.29045993994331676,0.9312322735786438
advancedV3_physics_fusion,VTEST_S20_1.csv,7306,0.6241445387352861,0.6561730084861758,0.5269641390637831,0.5849986312619765,0.28428994646157385,0.9193165898323059
advancedV3_physics_fusion,VTEST_S30.csv,7306,0.8045442102381604,0.8825622775800712,0.7938680536545305,0.8018067341910758,0.33006544558576356,0.9438279867172241
advancedV3_physics_fusion,VTEST_S30_1.csv,7306,0.5329865863673693,0.7600602244730359,0.5087599233506707,0.5176567205036956,0.20799068645821614,0.9087051749229431
advancedV3_physics_fusion,VTEST_S40.csv,7306,0.73268546400219,0.8521762934574323,0.6931289351218177,0.7003832466465918,0.35384031181958997,0.9361246228218079
advancedV3_physics_fusion,VTEST_S40_1.csv,7306,0.5808924171913495,0.798932384341637,0.5732274842595128,0.5787024363536819,0.2925425648565031,0.9279305338859558
advancedV3_physics_fusion,VTEST_S99.csv,7306,0.7725157404872708,0.8843416370106761,0.7450041062140706,0.7539009033670956,0.3687331300206557,0.9412792921066284
