algorithm_id,algorithm_name,target,group_count,outlier_count,raw_max_jump_mean,fitted_max_jump_mean,raw_roughness_mean,fitted_roughness_mean,high_confidence_mae,peak_retention,overshoot_count,runtime_seconds
1,Hampel + PCHIP,damage,39,1139,66.15384615384616,66.15384615384616,75.94288210063313,24.157417078975957,0.06474636888388415,0.9965906709760629,0,2.167765900027007
1,Hampel + PCHIP,stress,39,903,17.435897435897434,16.923076923076923,3.959015696353134,1.5113846002436047,0.006893500105629696,0.9968809436729555,0,2.167765900027007
2,Hampel + Savitzky-Golay,damage,39,1139,66.15384615384616,44.35653235653235,75.94288210063313,7.241827509603631,0.08838951157874003,0.9940606199866148,0,2.205961799947545
2,Hampel + Savitzky-Golay,stress,39,903,17.435897435897434,10.591260591260587,3.959015696353134,0.3076777483232771,0.010912751933519147,0.9941348463827666,0,2.205961799947545
3,Median + PCHIP,damage,39,1149,66.15384615384616,66.15384615384616,75.94288210063313,23.200327289146045,0.06600446638937102,0.9965122064932879,0,2.2261482999892905
3,Median + PCHIP,stress,39,914,17.435897435897434,16.923076923076923,3.959015696353134,1.454650310632603,0.006913976887007293,0.9968383365413178,0,2.2261482999892905
4,LOWESS,damage,39,1139,66.15384615384616,40.24591669691358,75.94288210063313,18.09194491048565,0.89442590247541,0.9295916674648038,0,43.11524219997227
4,LOWESS,stress,39,903,17.435897435897434,11.09050231000206,3.959015696353134,0.9148845948396342,0.182385482590929,0.9146490779163113,0,43.11524219997227
5,CubicSpline,damage,39,1139,66.15384615384616,66.15384615384616,75.94288210063313,24.157417078975957,0.06474636888388415,0.9965906709760629,0,2.3292808999540284
5,CubicSpline,stress,39,903,17.435897435897434,16.923076923076923,3.959015696353134,1.5113846002436047,0.006893500105629696,0.9968809436729555,0,2.3292808999540284
