n_points,outlier_count,outlier_ratio,raw_total_variation,fitted_total_variation,raw_max_adjacent_jump,fitted_max_adjacent_jump,raw_roughness,fitted_roughness,high_confidence_mae,peak_retention,overshoot,model,source_file,experiment_id,target,method,runtime_seconds
7302,2,0.0002738975623116954,420.0,466.4415584415582,40.0,16.173160173160163,3.1780821917808217,0.2043744282539272,,0.9999291508306752,False,advancedV1_multiscale_extratrees,VTEST_S00.csv,VTEST_S00,damage,hampel+savgol,32.21479769994039
7302,18,0.0024650780608052587,680.0,413.24098124098106,20.0,8.086580086580081,3.3424657534246576,0.10363201657633235,,0.9791005922239505,False,advancedV1_multiscale_extratrees,VTEST_S00.csv,VTEST_S00,stress,hampel+savgol,32.21479769994039
7302,13,0.0017803341550260202,1600.0,1331.9942279942265,60.0,24.259740259740244,17.753424657534246,0.6495811416549112,,0.9999294930971937,False,advancedV1_multiscale_extratrees,VTEST_S00_1.csv,VTEST_S00,damage,hampel+savgol,32.21479769994039
7302,7,0.000958641468090934,600.0,439.6190476190476,20.0,9.541125541125535,2.958904109589041,0.11945164005532843,,0.9863842922310653,False,advancedV1_multiscale_extratrees,VTEST_S00_1.csv,VTEST_S00,stress,hampel+savgol,32.21479769994039
7302,15,0.002054231717337716,2280.0,1415.8961038961043,80.0,38.16450216450214,43.534246575342465,1.6277628628550742,,0.9941549274138548,False,advancedV1_multiscale_extratrees,VTEST_S10.csv,VTEST_S10,damage,hampel+savgol,32.21479769994039
7302,8,0.0010955902492467817,340.0,258.2857142857146,20.0,9.541125541125531,1.6164383561643836,0.07015601581337201,,0.999561578993396,False,advancedV1_multiscale_extratrees,VTEST_S10.csv,VTEST_S10,stress,hampel+savgol,32.21479769994039
7302,25,0.003423719528896193,2560.0,2050.8860028860036,60.0,24.259740259740234,23.232876712328768,1.0840797347334954,,0.9973249408698754,False,advancedV1_multiscale_extratrees,VTEST_S10_1.csv,VTEST_S10,damage,hampel+savgol,32.21479769994039
7302,2,0.0002738975623116954,160.0,160.36363636363643,20.0,8.086580086580076,0.6027397260273972,0.03910012776762458,,0.9995909384576572,False,advancedV1_multiscale_extratrees,VTEST_S10_1.csv,VTEST_S10,stress,hampel+savgol,32.21479769994039
7307,4,0.0005474202819214452,520.0,497.4891774891776,40.0,16.173160173160156,4.161533196440794,0.24117973400887555,,0.9993755226029052,False,advancedV1_multiscale_extratrees,VTEST_S10_BH01.csv,VTEST_S10_BH01,damage,hampel+savgol,32.21479769994039
7307,4,0.0005474202819214452,100.0,44.84848484848494,20.0,5.189033189033184,0.7118412046543463,0.005765291253793145,,0.9999645752665623,False,advancedV1_multiscale_extratrees,VTEST_S10_BH01.csv,VTEST_S10_BH01,stress,hampel+savgol,32.21479769994039
7302,29,0.003971514653519584,3200.0,2299.6248196248184,60.0,24.259740259740244,39.36986301369863,1.443516529681503,,0.9969684899982285,False,advancedV1_multiscale_extratrees,VTEST_S20.csv,VTEST_S20,damage,hampel+savgol,32.21479769994039
7302,22,0.0030128731854286495,640.0,429.0909090909092,20.0,8.086580086580081,2.4657534246575343,0.07562573832632524,,0.9950064830499603,False,advancedV1_multiscale_extratrees,VTEST_S20.csv,VTEST_S20,stress,hampel+savgol,32.21479769994039
7302,33,0.0045193097781429745,4240.0,3418.643578643576,80.0,24.259740259740244,47.50684931506849,2.4089010058908604,,0.9911206661206647,False,advancedV1_multiscale_extratrees,VTEST_S20_1.csv,VTEST_S20,damage,hampel+savgol,32.21479769994039
7302,15,0.002054231717337716,920.0,796.5137085137087,20.0,8.086580086580081,3.671232876712329,0.1750758455010364,,0.9973348025431348,False,advancedV1_multiscale_extratrees,VTEST_S20_1.csv,VTEST_S20,stress,hampel+savgol,32.21479769994039
7302,23,0.0031498219665844975,1720.0,1164.9639249639245,80.0,32.346320346320326,21.26027397260274,0.6407334825196401,,0.9967214046898798,False,advancedV1_multiscale_extratrees,VTEST_S30.csv,VTEST_S30,damage,hampel+savgol,32.21479769994039
7302,10,0.001369487811558477,320.0,228.86580086580113,10.0,4.043290043290039,0.9657534246575342,0.037542168835532956,,0.9994894359614588,False,advancedV1_multiscale_extratrees,VTEST_S30.csv,VTEST_S30,stress,hampel+savgol,32.21479769994039
